"","genere","tasso_2025","tasso_2015_19","diff_tasso","diff_tasso_perc"
"1","FEMMINE",1120.41046368207,1239.50804533457,-119.097581652501,-9.60845571763541
"2","MASCHI",1083.4755688413,1260.54869474178,-177.073125900484,-14.0473054820589
